Temperature (K),Grain Size (nm),Fe %,Ni %,Cr %,Co %,Cu %,Strain Rate (Strain/ps),Young's Modulus (GPa),Yield Strength (MPa),Ultimate Tensile Strength (MPa)
400,14.3,0.22,0.195,0.195,0.195,0.195,0.004,127,2941,4763
400,14.3,0.24,0.19,0.19,0.19,0.19,0.004,124,3132,4928
400,14.3,0.26,0.185,0.185,0.185,0.185,0.004,123,3248,4927
400,14.3,0.28,0.18,0.18,0.18,0.18,0.004,122,3221,4861
400,14.3,0.3,0.175,0.175,0.175,0.175,0.004,121,3089,4923
400,14.3,0.225,0.1,0.225,0.225,0.225,0.004,119,3044,4716
400,14.3,0.22,0.12,0.22,0.22,0.22,0.004,119,3085,4777
400,14.3,0.215,0.14,0.215,0.215,0.215,0.004,121,3099,4785
400,14.3,0.21,0.16,0.21,0.21,0.21,0.004,124,2983,4809
400,14.3,0.205,0.18,0.205,0.205,0.205,0.004,121,3196,4796
400,14.3,0.195,0.22,0.195,0.195,0.195,0.004,124,3180,4923
400,14.3,0.19,0.24,0.19,0.19,0.19,0.004,128,3168,4861
400,14.3,0.185,0.26,0.185,0.185,0.185,0.004,126,3228,5059
400,14.3,0.18,0.28,0.18,0.18,0.18,0.004,130,3170,5040
400,14.3,0.175,0.3,0.175,0.175,0.175,0.004,133,3144,5049
400,14.3,0.225,0.225,0.1,0.225,0.225,0.004,125,3035,4863
400,14.3,0.22,0.22,0.12,0.22,0.22,0.004,123,3143,4866
400,14.3,0.215,0.215,0.14,0.215,0.215,0.004,124,3120,4791
400,14.3,0.21,0.21,0.16,0.21,0.21,0.004,123,3229,4781
400,14.3,0.205,0.205,0.18,0.205,0.205,0.004,123,3199,4842
400,14.3,0.195,0.195,0.22,0.195,0.195,0.004,126,2983,4860
400,14.3,0.19,0.19,0.24,0.19,0.19,0.004,126,3159,4772
400,14.3,0.185,0.185,0.26,0.185,0.185,0.004,127,2995,4944
400,14.3,0.18,0.18,0.28,0.18,0.18,0.004,125,3256,4877
400,14.3,0.175,0.175,0.3,0.175,0.175,0.004,128,2877,4899
400,14.3,0.225,0.225,0.225,0.1,0.225,0.004,123,3231,5018
400,14.3,0.22,0.22,0.22,0.12,0.22,0.004,122,3124,4897
400,14.3,0.215,0.215,0.215,0.14,0.215,0.004,124,3164,5030
400,14.3,0.21,0.21,0.21,0.16,0.21,0.004,125,3050,4968
400,14.3,0.205,0.205,0.205,0.18,0.205,0.004,124,3271,4977
400,14.3,0.195,0.195,0.195,0.22,0.195,0.004,123,3148,4707
400,14.3,0.19,0.19,0.19,0.24,0.19,0.004,122,3180,4878
400,14.3,0.185,0.185,0.185,0.26,0.185,0.004,124,3067,4753
400,14.3,0.18,0.18,0.18,0.28,0.18,0.004,124,3082,4760
400,14.3,0.175,0.175,0.175,0.3,0.175,0.004,128,2906,4641
400,14.3,0.225,0.225,0.225,0.225,0.1,0.004,134,3271,4984
400,14.3,0.22,0.22,0.22,0.22,0.12,0.004,129,3156,4941
400,14.3,0.215,0.215,0.215,0.215,0.14,0.004,132,3001,4912
400,14.3,0.21,0.21,0.21,0.21,0.16,0.004,129,3054,4995
400,14.3,0.205,0.205,0.205,0.205,0.18,0.004,128,3069,4816
400,14.3,0.195,0.195,0.195,0.195,0.22,0.004,122,3164,4898
400,14.3,0.19,0.19,0.19,0.19,0.24,0.004,127,2697,4868
400,14.3,0.185,0.185,0.185,0.185,0.26,0.004,121,3186,4732
400,14.3,0.18,0.18,0.18,0.18,0.28,0.004,117,3196,4800
400,14.3,0.175,0.175,0.175,0.175,0.3,0.004,124,2576,4682
400,12.6,0.1,0.225,0.225,0.225,0.225,0.004,121,2851,4468
400,12.6,0.12,0.22,0.22,0.22,0.22,0.004,121,2863,4531
400,12.6,0.14,0.215,0.215,0.215,0.215,0.004,123,2698,4683
400,12.6,0.16,0.21,0.21,0.21,0.21,0.004,118,3157,4644
400,12.6,0.18,0.205,0.205,0.205,0.205,0.004,119,3050,4717
400,12.6,0.2,0.2,0.2,0.2,0.2,0.004,122,2742,4640
400,12.6,0.22,0.195,0.195,0.195,0.195,0.004,123,2862,4630
400,12.6,0.24,0.19,0.19,0.19,0.19,0.004,118,3071,4653
400,12.6,0.26,0.185,0.185,0.185,0.185,0.004,118,3107,4762
400,12.6,0.28,0.18,0.18,0.18,0.18,0.004,122,2733,4697
400,12.6,0.3,0.175,0.175,0.175,0.175,0.004,121,2665,4717
400,12.6,0.225,0.1,0.225,0.225,0.225,0.004,115,2724,4565
400,12.6,0.22,0.12,0.22,0.22,0.22,0.004,117,2716,4561
400,12.6,0.215,0.14,0.215,0.215,0.215,0.004,117,2776,4571
400,12.6,0.21,0.16,0.21,0.21,0.21,0.004,122,2680,4608
400,12.6,0.205,0.18,0.205,0.205,0.205,0.004,122,2823,4678
400,12.6,0.195,0.22,0.195,0.195,0.195,0.004,123,2898,4792
400,12.6,0.19,0.24,0.19,0.19,0.19,0.004,123,2901,4573
400,12.6,0.185,0.26,0.185,0.185,0.185,0.004,124,2988,4803
400,12.6,0.18,0.28,0.18,0.18,0.18,0.004,127,2832,4870
400,12.6,0.175,0.3,0.175,0.175,0.175,0.004,130,2800,4847
400,12.6,0.225,0.225,0.1,0.225,0.225,0.004,123,2757,4720
400,12.6,0.22,0.22,0.12,0.22,0.22,0.004,120,2962,4766
400,12.6,0.215,0.215,0.14,0.215,0.215,0.004,121,2863,4756
400,12.6,0.21,0.21,0.16,0.21,0.21,0.004,120,2972,4634
400,12.6,0.205,0.205,0.18,0.205,0.205,0.004,120,2918,4762
400,12.6,0.195,0.195,0.22,0.195,0.195,0.004,117,3124,4648
400,12.6,0.19,0.19,0.24,0.19,0.19,0.004,122,2846,4649
400,12.6,0.185,0.185,0.26,0.185,0.185,0.004,121,2896,4619
400,12.6,0.18,0.18,0.28,0.18,0.18,0.004,118,2887,4666
400,12.6,0.175,0.175,0.3,0.175,0.175,0.004,120,2985,4618
400,12.6,0.225,0.225,0.225,0.1,0.225,0.004,117,2907,4869
400,12.6,0.22,0.22,0.22,0.12,0.22,0.004,120,2925,4814
400,12.6,0.215,0.215,0.215,0.14,0.215,0.004,120,3068,4950
400,12.6,0.21,0.21,0.21,0.16,0.21,0.004,123,2754,4769
400,12.6,0.205,0.205,0.205,0.18,0.205,0.004,123,2810,4765
400,12.6,0.195,0.195,0.195,0.22,0.195,0.004,121,3035,4693
400,12.6,0.19,0.19,0.19,0.24,0.19,0.004,118,3028,4683
400,12.6,0.185,0.185,0.185,0.26,0.185,0.004,119,3081,4601
400,12.6,0.18,0.18,0.18,0.28,0.18,0.004,121,2992,4518
400,12.6,0.175,0.175,0.175,0.3,0.175,0.004,123,2795,4391
400,12.6,0.225,0.225,0.225,0.225,0.1,0.004,125,3106,4748
400,12.6,0.22,0.22,0.22,0.22,0.12,0.004,127,2898,4633
400,12.6,0.215,0.215,0.215,0.215,0.14,0.004,124,3009,4644
400,12.6,0.21,0.21,0.21,0.21,0.16,0.004,122,3118,4751
400,12.6,0.205,0.205,0.205,0.205,0.18,0.004,118,2993,4725
400,12.6,0.195,0.195,0.195,0.195,0.22,0.004,123,2661,4677
400,12.6,0.19,0.19,0.19,0.19,0.24,0.004,117,2812,4688
400,12.6,0.185,0.185,0.185,0.185,0.26,0.004,118,2895,4740
400,12.6,0.18,0.18,0.18,0.18,0.28,0.004,121,2514,4535
400,12.6,0.175,0.175,0.175,0.175,0.3,0.004,112,2905,4476
200,17.2,0.1,0.225,0.225,0.225,0.225,0.04,187,5297,9952
200,17.2,0.12,0.22,0.22,0.22,0.22,0.04,185,5335,9927
200,17.2,0.14,0.215,0.215,0.215,0.215,0.04,183,5276,9984
200,17.2,0.16,0.21,0.21,0.21,0.21,0.04,183,5192,9999
200,17.2,0.18,0.205,0.205,0.205,0.205,0.04,181,5212,10054
200,17.2,0.2,0.2,0.2,0.2,0.2,0.04,181,5139,10103
200,17.2,0.22,0.195,0.195,0.195,0.195,0.04,178,5065,10141
200,17.2,0.24,0.19,0.19,0.19,0.19,0.04,178,5054,10209
200,17.2,0.26,0.185,0.185,0.185,0.185,0.04,175,5120,10295
200,17.2,0.28,0.18,0.18,0.18,0.18,0.04,175,4977,10236
200,17.2,0.3,0.175,0.175,0.175,0.175,0.04,173,4926,10321
200,17.2,0.225,0.1,0.225,0.225,0.225,0.04,170,4894,9579
200,17.2,0.22,0.12,0.22,0.22,0.22,0.04,172,4956,9722
200,17.2,0.215,0.14,0.215,0.215,0.215,0.04,173,5070,9736
200,17.2,0.21,0.16,0.21,0.21,0.21,0.04,176,5059,9914
200,17.2,0.205,0.18,0.205,0.205,0.205,0.04,178,5133,9975
200,17.2,0.195,0.22,0.195,0.195,0.195,0.04,182,5168,10208
200,17.2,0.19,0.24,0.19,0.19,0.19,0.04,184,5279,10325
200,17.2,0.185,0.26,0.185,0.185,0.185,0.04,185,5333,10333
200,17.2,0.18,0.28,0.18,0.18,0.18,0.04,187,5388,10488
200,17.2,0.175,0.3,0.175,0.175,0.175,0.04,190,5307,10557
200,17.2,0.225,0.225,0.1,0.225,0.225,0.04,178,5044,9994
200,17.2,0.22,0.22,0.12,0.22,0.22,0.04,178,5179,10041
200,17.2,0.215,0.215,0.14,0.215,0.215,0.04,178,5131,10071
200,17.2,0.21,0.21,0.16,0.21,0.21,0.04,179,5081,10063
200,17.2,0.205,0.205,0.18,0.205,0.205,0.04,180,5038,10020
200,17.2,0.195,0.195,0.22,0.195,0.195,0.04,180,5182,10094
200,17.2,0.19,0.19,0.24,0.19,0.19,0.04,181,5206,10107
200,17.2,0.185,0.185,0.26,0.185,0.185,0.04,182,5157,10091
200,17.2,0.18,0.18,0.28,0.18,0.18,0.04,182,5166,10150
200,17.2,0.175,0.175,0.3,0.175,0.175,0.04,183,5179,10166
200,17.2,0.225,0.225,0.225,0.1,0.225,0.04,169,4680,10124
200,17.2,0.22,0.22,0.22,0.12,0.22,0.04,176,5073,10370
200,17.2,0.215,0.215,0.215,0.14,0.215,0.04,177,5091,10257
200,17.2,0.21,0.21,0.21,0.16,0.21,0.04,177,5105,10213
200,17.2,0.205,0.205,0.205,0.18,0.205,0.04,180,5096,10131
200,17.2,0.195,0.195,0.195,0.22,0.195,0.04,181,5152,10036
200,17.2,0.19,0.19,0.19,0.24,0.19,0.04,183,5199,9977
200,17.2,0.185,0.185,0.185,0.26,0.185,0.04,183,5254,9870
200,17.2,0.18,0.18,0.18,0.28,0.18,0.04,183,5278,9828
200,17.2,0.175,0.175,0.175,0.3,0.175,0.04,178,4844,9445
200,17.2,0.225,0.225,0.225,0.225,0.1,0.04,190,5375,10481
200,17.2,0.22,0.22,0.22,0.22,0.12,0.04,188,5339,10455
200,17.2,0.215,0.215,0.215,0.215,0.14,0.04,186,5281,10331
200,17.2,0.21,0.21,0.21,0.21,0.16,0.04,184,5222,10198
200,17.2,0.205,0.205,0.205,0.205,0.18,0.04,182,5177,10115
200,17.2,0.195,0.195,0.195,0.195,0.22,0.04,178,5135,10003
200,17.2,0.19,0.19,0.19,0.19,0.24,0.04,176,5074,9948
200,17.2,0.185,0.185,0.185,0.185,0.26,0.04,174,4994,9804
200,17.2,0.18,0.18,0.18,0.18,0.28,0.04,171,4932,9702
200,17.2,0.175,0.175,0.175,0.175,0.3,0.04,170,4903,9665
200,14.3,0.1,0.225,0.225,0.225,0.225,0.04,166,4503,9005
200,14.3,0.12,0.22,0.22,0.22,0.22,0.04,165,4436,8960
200,14.3,0.14,0.215,0.215,0.215,0.215,0.04,165,4376,9062
200,14.3,0.16,0.21,0.21,0.21,0.21,0.04,163,4322,9041
200,14.3,0.18,0.205,0.205,0.205,0.205,0.04,164,4214,9164
200,14.3,0.2,0.2,0.2,0.2,0.2,0.04,163,4181,9148
200,14.3,0.22,0.195,0.195,0.195,0.195,0.04,161,4241,9248
200,14.3,0.24,0.19,0.19,0.19,0.19,0.04,160,4227,9247
200,14.3,0.26,0.185,0.185,0.185,0.185,0.04,160,4105,9363
200,14.3,0.28,0.18,0.18,0.18,0.18,0.04,158,4107,9371
200,14.3,0.3,0.175,0.175,0.175,0.175,0.04,159,4012,9527
200,14.3,0.225,0.1,0.225,0.225,0.225,0.04,153,4045,8781
200,14.3,0.22,0.12,0.22,0.22,0.22,0.04,156,3982,8850
200,14.3,0.215,0.14,0.215,0.215,0.215,0.04,158,4106,8946
200,14.3,0.21,0.16,0.21,0.21,0.21,0.04,159,4139,8992
200,14.3,0.205,0.18,0.205,0.205,0.205,0.04,162,4140,9083
200,14.3,0.195,0.22,0.195,0.195,0.195,0.04,164,4316,9256
200,14.3,0.19,0.24,0.19,0.19,0.19,0.04,165,4486,9368
200,14.3,0.185,0.26,0.185,0.185,0.185,0.04,167,4417,9396
200,14.3,0.18,0.28,0.18,0.18,0.18,0.04,168,4555,9503
200,14.3,0.175,0.3,0.175,0.175,0.175,0.04,169,4600,9591
200,14.3,0.225,0.225,0.1,0.225,0.225,0.04,160,4292,9229
200,14.3,0.22,0.22,0.12,0.22,0.22,0.04,163,4180,9127
200,14.3,0.215,0.215,0.14,0.215,0.215,0.04,162,4206,9219
200,14.3,0.21,0.21,0.16,0.21,0.21,0.04,161,4317,9161
200,14.3,0.205,0.205,0.18,0.205,0.205,0.04,162,4273,9185
200,14.3,0.195,0.195,0.22,0.195,0.195,0.04,162,4392,9232
200,14.3,0.19,0.19,0.24,0.19,0.19,0.04,163,4298,9196
200,14.3,0.185,0.185,0.26,0.185,0.185,0.04,164,4207,9126
200,14.3,0.18,0.18,0.28,0.18,0.18,0.04,164,4316,9199
200,14.3,0.175,0.175,0.3,0.175,0.175,0.04,165,4272,9153
200,14.3,0.225,0.225,0.225,0.1,0.225,0.04,162,4016,9532
200,14.3,0.22,0.22,0.22,0.12,0.22,0.04,160,4221,9511
200,14.3,0.215,0.215,0.215,0.14,0.215,0.04,159,4377,9422
200,14.3,0.21,0.21,0.21,0.16,0.21,0.04,161,4246,9409
200,14.3,0.205,0.205,0.205,0.18,0.205,0.04,163,4168,9277
200,14.3,0.195,0.195,0.195,0.22,0.195,0.04,163,4299,9146
200,14.3,0.19,0.19,0.19,0.24,0.19,0.04,163,4350,8995
200,14.3,0.185,0.185,0.185,0.26,0.185,0.04,165,4296,8961
200,14.3,0.18,0.18,0.18,0.28,0.18,0.04,167,4148,8881
200,14.3,0.175,0.175,0.175,0.3,0.175,0.04,166,4318,8851
200,14.3,0.225,0.225,0.225,0.225,0.1,0.04,170,4428,9452
200,14.3,0.22,0.22,0.22,0.22,0.12,0.04,171,4315,9335
200,14.3,0.215,0.215,0.215,0.215,0.14,0.04,169,4312,9318
200,14.3,0.21,0.21,0.21,0.21,0.16,0.04,167,4274,9314
200,14.3,0.205,0.205,0.205,0.205,0.18,0.04,163,4314,9211
200,14.3,0.195,0.195,0.195,0.195,0.22,0.04,162,4260,9113
200,14.3,0.19,0.19,0.19,0.19,0.24,0.04,158,4249,9078
200,14.3,0.185,0.185,0.185,0.185,0.26,0.04,156,4233,9013
200,14.3,0.18,0.18,0.18,0.18,0.28,0.04,154,4183,8908
200,14.3,0.175,0.175,0.175,0.175,0.3,0.04,153,4113,8865
200,12.6,0.1,0.225,0.225,0.225,0.225,0.04,170,3739,8563
200,12.6,0.12,0.22,0.22,0.22,0.22,0.04,166,3922,8620
200,12.6,0.14,0.215,0.215,0.215,0.215,0.04,168,3757,8685
200,12.6,0.16,0.21,0.21,0.21,0.21,0.04,168,3641,8727
200,12.6,0.18,0.205,0.205,0.205,0.205,0.04,165,3639,8707
200,12.6,0.2,0.2,0.2,0.2,0.2,0.04,166,3643,8786
200,12.6,0.22,0.195,0.195,0.195,0.195,0.04,163,3706,8870
200,12.6,0.24,0.19,0.19,0.19,0.19,0.04,164,3545,8886
200,12.6,0.26,0.185,0.185,0.185,0.185,0.04,165,3426,8835
200,12.6,0.28,0.18,0.18,0.18,0.18,0.04,160,3648,8995
200,12.6,0.3,0.175,0.175,0.175,0.175,0.04,161,3486,9000
200,12.6,0.225,0.1,0.225,0.225,0.225,0.04,158,3353,8420
200,12.6,0.22,0.12,0.22,0.22,0.22,0.04,158,3473,8470
200,12.6,0.215,0.14,0.215,0.215,0.215,0.04,159,3568,8552
200,12.6,0.21,0.16,0.21,0.21,0.21,0.04,161,3612,8599
200,12.6,0.205,0.18,0.205,0.205,0.205,0.04,163,3705,8768
200,12.6,0.195,0.22,0.195,0.195,0.195,0.04,170,3540,8849
200,12.6,0.19,0.24,0.19,0.19,0.19,0.04,169,3711,8934
200,12.6,0.185,0.26,0.185,0.185,0.185,0.04,170,3739,8976
200,12.6,0.18,0.28,0.18,0.18,0.18,0.04,173,3745,9124
200,12.6,0.175,0.3,0.175,0.175,0.175,0.04,174,3824,9148
200,12.6,0.225,0.225,0.1,0.225,0.225,0.04,166,3525,8825
200,12.6,0.22,0.22,0.12,0.22,0.22,0.04,165,3550,8820
200,12.6,0.215,0.215,0.14,0.215,0.215,0.04,162,3756,8682
200,12.6,0.21,0.21,0.16,0.21,0.21,0.04,162,3760,8757
200,12.6,0.205,0.205,0.18,0.205,0.205,0.04,164,3749,8827
200,12.6,0.195,0.195,0.22,0.195,0.195,0.04,166,3529,8765
200,12.6,0.19,0.19,0.24,0.19,0.19,0.04,163,3792,8740
200,12.6,0.185,0.185,0.26,0.185,0.185,0.04,166,3644,8847
200,12.6,0.18,0.18,0.28,0.18,0.18,0.04,166,3658,8770
200,12.6,0.175,0.175,0.3,0.175,0.175,0.04,171,3540,8786
200,12.6,0.225,0.225,0.225,0.1,0.225,0.04,165,3435,9084
200,12.6,0.22,0.22,0.22,0.12,0.22,0.04,163,3646,9036
200,12.6,0.215,0.215,0.215,0.14,0.215,0.04,162,3703,8982
200,12.6,0.21,0.21,0.21,0.16,0.21,0.04,165,3690,8933
200,12.6,0.205,0.205,0.205,0.18,0.205,0.04,166,3583,8851
200,12.6,0.195,0.195,0.195,0.22,0.195,0.04,167,3604,8749
200,12.6,0.19,0.19,0.19,0.24,0.19,0.04,167,3603,8687
200,12.6,0.185,0.185,0.185,0.26,0.185,0.04,167,3661,8614
200,12.6,0.18,0.18,0.18,0.28,0.18,0.04,168,3698,8524
200,12.6,0.175,0.175,0.175,0.3,0.175,0.04,170,3594,8466
200,12.6,0.225,0.225,0.225,0.225,0.1,0.04,174,3704,9069
200,12.6,0.22,0.22,0.22,0.22,0.12,0.04,172,3771,8971
200,12.6,0.215,0.215,0.215,0.215,0.14,0.04,172,3655,8924
200,12.6,0.21,0.21,0.21,0.21,0.16,0.04,170,3604,8912
200,12.6,0.205,0.205,0.205,0.205,0.18,0.04,166,3705,8807
200,12.6,0.195,0.195,0.195,0.195,0.22,0.04,163,3596,8792
200,12.6,0.19,0.19,0.19,0.19,0.24,0.04,164,3427,8634
200,12.6,0.185,0.185,0.185,0.185,0.26,0.04,162,3492,8621
200,12.6,0.18,0.18,0.18,0.18,0.28,0.04,158,3537,8593
200,12.6,0.175,0.175,0.175,0.175,0.3,0.04,156,3561,8477
300,17.2,0.1,0.225,0.225,0.225,0.225,0.04,184,5222,9655
300,17.2,0.12,0.22,0.22,0.22,0.22,0.04,183,5271,9663
300,17.2,0.14,0.215,0.215,0.215,0.215,0.04,182,5111,9752
300,17.2,0.16,0.21,0.21,0.21,0.21,0.04,181,5136,9783
300,17.2,0.18,0.205,0.205,0.205,0.205,0.04,180,5169,9808
300,17.2,0.2,0.2,0.2,0.2,0.2,0.04,179,5150,9886
300,17.2,0.22,0.195,0.195,0.195,0.195,0.04,178,4975,9993
300,17.2,0.24,0.19,0.19,0.19,0.19,0.04,176,5060,10039
300,17.2,0.26,0.185,0.185,0.185,0.185,0.04,175,5047,9994
300,17.2,0.28,0.18,0.18,0.18,0.18,0.04,174,4956,10122
300,17.2,0.3,0.175,0.175,0.175,0.175,0.04,173,4976,10138
300,17.2,0.225,0.1,0.225,0.225,0.225,0.04,169,4863,9437
300,17.2,0.22,0.12,0.22,0.22,0.22,0.04,171,4930,9501
300,17.2,0.215,0.14,0.215,0.215,0.215,0.04,173,4916,9529
300,17.2,0.21,0.16,0.21,0.21,0.21,0.04,175,5032,9697
300,17.2,0.205,0.18,0.205,0.205,0.205,0.04,177,5088,9796
300,17.2,0.195,0.22,0.195,0.195,0.195,0.04,181,5132,9978
300,17.2,0.19,0.24,0.19,0.19,0.19,0.04,183,5126,10002
300,17.2,0.185,0.26,0.185,0.185,0.185,0.04,184,5242,10142
300,17.2,0.18,0.28,0.18,0.18,0.18,0.04,186,5363,10257
300,17.2,0.175,0.3,0.175,0.175,0.175,0.04,187,5324,10286
300,17.2,0.225,0.225,0.1,0.225,0.225,0.04,175,5125,9777
300,17.2,0.22,0.22,0.12,0.22,0.22,0.04,177,4973,9776
300,17.2,0.215,0.215,0.14,0.215,0.215,0.04,176,5147,9799
300,17.2,0.21,0.21,0.16,0.21,0.21,0.04,177,5162,9861
300,17.2,0.205,0.205,0.18,0.205,0.205,0.04,178,5061,9823
300,17.2,0.195,0.195,0.22,0.195,0.195,0.04,179,5079,9793
300,17.2,0.19,0.19,0.24,0.19,0.19,0.04,179,5237,9805
300,17.2,0.185,0.185,0.26,0.185,0.185,0.04,180,5183,9899
300,17.2,0.18,0.18,0.28,0.18,0.18,0.04,180,5248,9915
300,17.2,0.175,0.175,0.3,0.175,0.175,0.04,181,5199,9930
300,17.2,0.225,0.225,0.225,0.1,0.225,0.04,175,5035,10161
300,17.2,0.22,0.22,0.22,0.12,0.22,0.04,176,5004,10155
300,17.2,0.215,0.215,0.215,0.14,0.215,0.04,177,5014,10062
300,17.2,0.21,0.21,0.21,0.16,0.21,0.04,177,5161,10042
300,17.2,0.205,0.205,0.205,0.18,0.205,0.04,177,5104,9943
300,17.2,0.195,0.195,0.195,0.22,0.195,0.04,179,5092,9760
300,17.2,0.19,0.19,0.19,0.24,0.19,0.04,181,5132,9709
300,17.2,0.185,0.185,0.185,0.26,0.185,0.04,185,4869,9705
300,17.2,0.18,0.18,0.18,0.28,0.18,0.04,182,5161,9571
300,17.2,0.175,0.175,0.175,0.3,0.175,0.04,183,5183,9534
300,17.2,0.225,0.225,0.225,0.225,0.1,0.04,189,5354,10275
300,17.2,0.22,0.22,0.22,0.22,0.12,0.04,188,5196,10170
300,17.2,0.215,0.215,0.215,0.215,0.14,0.04,185,5247,10119
300,17.2,0.21,0.21,0.21,0.21,0.16,0.04,182,5179,10019
300,17.2,0.205,0.205,0.205,0.205,0.18,0.04,182,5086,9966
300,17.2,0.195,0.195,0.195,0.195,0.22,0.04,177,5108,9752
300,17.2,0.19,0.19,0.19,0.19,0.24,0.04,175,5023,9674
300,17.2,0.185,0.185,0.185,0.185,0.26,0.04,174,4810,9573
300,17.2,0.18,0.18,0.18,0.18,0.28,0.04,170,4952,9450
300,17.2,0.175,0.175,0.175,0.175,0.3,0.04,168,4906,9362
300,14.3,0.1,0.225,0.225,0.225,0.225,0.04,165,4304,8825
300,14.3,0.12,0.22,0.22,0.22,0.22,0.04,165,4363,8784
300,14.3,0.14,0.215,0.215,0.215,0.215,0.04,166,4188,8841
300,14.3,0.16,0.21,0.21,0.21,0.21,0.04,165,4163,8847
300,14.3,0.18,0.205,0.205,0.205,0.205,0.04,163,4176,8971
300,14.3,0.2,0.2,0.2,0.2,0.2,0.04,163,4104,8995
300,14.3,0.22,0.195,0.195,0.195,0.195,0.04,160,4220,9062
300,14.3,0.24,0.19,0.19,0.19,0.19,0.04,159,4254,9116
300,14.3,0.26,0.185,0.185,0.185,0.185,0.04,159,4078,9068
300,14.3,0.28,0.18,0.18,0.18,0.18,0.04,158,4103,9219
300,14.3,0.3,0.175,0.175,0.175,0.175,0.04,159,4008,9312
300,14.3,0.225,0.1,0.225,0.225,0.225,0.04,152,4122,8650
300,14.3,0.22,0.12,0.22,0.22,0.22,0.04,155,3974,8686
300,14.3,0.215,0.14,0.215,0.215,0.215,0.04,158,4046,8755
300,14.3,0.21,0.16,0.21,0.21,0.21,0.04,158,4121,8827
300,14.3,0.205,0.18,0.205,0.205,0.205,0.04,163,4029,8933
300,14.3,0.195,0.22,0.195,0.195,0.195,0.04,162,4346,9049
300,14.3,0.19,0.24,0.19,0.19,0.19,0.04,167,4203,9186
300,14.3,0.185,0.26,0.185,0.185,0.185,0.04,168,4247,9239
300,14.3,0.18,0.28,0.18,0.18,0.18,0.04,171,4179,9330
300,14.3,0.175,0.3,0.175,0.175,0.175,0.04,172,4327,9384
300,14.3,0.225,0.225,0.1,0.225,0.225,0.04,158,4246,9017
300,14.3,0.22,0.22,0.12,0.22,0.22,0.04,165,3958,8935
300,14.3,0.215,0.215,0.14,0.215,0.215,0.04,162,4083,8969
300,14.3,0.21,0.21,0.16,0.21,0.21,0.04,164,3997,8943
300,14.3,0.205,0.205,0.18,0.205,0.205,0.04,162,4152,9008
300,14.3,0.195,0.195,0.22,0.195,0.195,0.04,165,4081,9024
300,14.3,0.19,0.19,0.24,0.19,0.19,0.04,163,4176,9024
300,14.3,0.185,0.185,0.26,0.185,0.185,0.04,166,3979,8921
300,14.3,0.18,0.18,0.28,0.18,0.18,0.04,164,4131,8978
300,14.3,0.175,0.175,0.3,0.175,0.175,0.04,165,4141,8962
300,14.3,0.225,0.225,0.225,0.1,0.225,0.04,160,4113,9377
300,14.3,0.22,0.22,0.22,0.12,0.22,0.04,164,3924,9220
300,14.3,0.215,0.215,0.215,0.14,0.215,0.04,159,4272,9220
300,14.3,0.21,0.21,0.21,0.16,0.21,0.04,158,4307,9145
300,14.3,0.205,0.205,0.205,0.18,0.205,0.04,166,3802,9060
300,14.3,0.195,0.195,0.195,0.22,0.195,0.04,165,4093,8954
300,14.3,0.19,0.19,0.19,0.24,0.19,0.04,166,3980,8864
300,14.3,0.185,0.185,0.185,0.26,0.185,0.04,164,4146,8677
300,14.3,0.18,0.18,0.18,0.28,0.18,0.04,165,4101,8712
300,14.3,0.175,0.175,0.175,0.3,0.175,0.04,164,4214,8651
300,14.3,0.225,0.225,0.225,0.225,0.1,0.04,172,4316,9252
300,14.3,0.22,0.22,0.22,0.22,0.12,0.04,168,4499,9162
300,14.3,0.215,0.215,0.215,0.215,0.14,0.04,169,4248,9165
300,14.3,0.21,0.21,0.21,0.21,0.16,0.04,166,4249,9057
300,14.3,0.205,0.205,0.205,0.205,0.18,0.04,166,4041,9118
300,14.3,0.195,0.195,0.195,0.195,0.22,0.04,162,4078,8960
300,14.3,0.19,0.19,0.19,0.19,0.24,0.04,159,4130,8880
300,14.3,0.185,0.185,0.185,0.185,0.26,0.04,155,4172,8862
300,14.3,0.18,0.18,0.18,0.18,0.28,0.04,156,4048,8733
300,14.3,0.175,0.175,0.175,0.175,0.3,0.04,154,4008,8654
300,12.6,0.1,0.225,0.225,0.225,0.225,0.04,167,3757,8453
300,12.6,0.12,0.22,0.22,0.22,0.22,0.04,167,3687,8440
300,12.6,0.14,0.215,0.215,0.215,0.215,0.04,168,3574,8472
300,12.6,0.16,0.21,0.21,0.21,0.21,0.04,166,3712,8475
300,12.6,0.18,0.205,0.205,0.205,0.205,0.04,167,3485,8521
300,12.6,0.2,0.2,0.2,0.2,0.2,0.04,161,3854,8636
300,12.6,0.22,0.195,0.195,0.195,0.195,0.04,162,3745,8682
300,12.6,0.24,0.19,0.19,0.19,0.19,0.04,162,3680,8713
300,12.6,0.26,0.185,0.185,0.185,0.185,0.04,164,3538,8725
300,12.6,0.28,0.18,0.18,0.18,0.18,0.04,157,3831,8827
300,12.6,0.3,0.175,0.175,0.175,0.175,0.04,157,3713,8891
300,12.6,0.225,0.1,0.225,0.225,0.225,0.04,158,3282,8226
300,12.6,0.22,0.12,0.22,0.22,0.22,0.04,156,3558,8274
300,12.6,0.215,0.14,0.215,0.215,0.215,0.04,156,3798,8435
